date,price
2014-06-19,19600.0
2014-06-20,20150.0
2014-06-21,20200.0
2014-06-23,20150.0
2014-06-24,20250.0
2014-06-25,20200.0
2014-06-26,20250.0
2014-06-27,20250.0
2014-06-28,20250.0
2014-06-30,20250.0
2014-07-01,20400.0
2014-07-02,20350.0
2014-07-03,20300.0
2014-07-04,20250.0
2014-07-05,20300.0
2014-07-07,20250.0
2014-07-08,20250.0
2014-07-09,20250.0
2014-07-10,20300.0
2014-07-14,20350.0
2014-07-15,19950.0
2014-07-16,19800.0
2014-07-17,19850.0
2014-07-18,20100.0
2014-07-19,20000.0
2014-07-21,19950.0
2014-07-22,19850.0
2014-07-23,19700.0
2014-07-24,19600.0
2014-07-25,19550.0
2014-07-26,19700.0
2014-07-28,19650.0
2014-07-29,19700.0
2014-07-30,19650.0
2014-07-31,19650.0
2014-08-01,19600.0
2014-08-02,19700.0
2014-08-04,19700.0
2014-08-05,19650.0
2014-08-06,19700.0
2014-08-07,19900.0
2014-08-08,20100.0
2014-08-09,19950.0
2014-08-11,19900.0
2014-08-13,19850.0
2014-08-14,19850.0
2014-08-15,19850.0
2014-08-16,19750.0
2014-08-18,19650.0
2014-08-19,19650.0
2014-08-20,19600.0
2014-08-21,19600.0
2014-08-22,19350.0
2014-08-23,19450.0
2014-08-25,19450.0
2014-08-26,19350.0
2014-08-27,19450.0
2014-08-28,19450.0
2014-08-29,19550.0
2014-08-30,19500.0
2014-09-01,19500.0
2014-09-02,19500.0
2014-09-03,19350.0
2014-09-04,19350.0
2014-09-05,19250.0
2014-09-06,19300.0
2014-09-08,19250.0
2014-09-09,19150.0
2014-09-10,19150.0
2014-09-11,19050.0
2014-09-12,18900.0
2014-09-13,18850.0
2014-09-15,18850.0
2014-09-16,18950.0
2014-09-17,18950.0
2014-09-18,18800.0
2014-09-19,18750.0
2014-09-20,18600.0
2014-09-22,18550.0
2014-09-23,18650.0
2014-09-24,18700.0
2014-09-25,18600.0
2014-09-26,18750.0
2014-09-27,18750.0
2014-09-29,18700.0
2014-09-30,18700.0
2014-10-01,18600.0
2014-10-02,18700.0
2014-10-03,18700.0
2014-10-04,18500.0
2014-10-06,18450.0
2014-10-07,18650.0
2014-10-08,18800.0
2014-10-09,18850.0
2014-10-10,18800.0
2014-10-11,18850.0
2014-10-13,18950.0
2014-10-14,18950.0
2014-10-15,18950.0
2014-10-16,19100.0
2014-10-17,19050.0
2014-10-18,19050.0
2014-10-20,19000.0
2014-10-21,19050.0
2014-10-22,19100.0
2014-10-24,18950.0
2014-10-25,18950.0
2014-10-27,18900.0
2014-10-28,18950.0
2014-10-29,18950.0
2014-10-30,18750.0
2014-10-31,18500.0
2014-11-01,18200.0
2014-11-03,18100.0
2014-11-04,18100.0
2014-11-05,18100.0
2014-11-06,17850.0
2014-11-07,17850.0
2014-11-08,18300.0
2014-11-10,18250.0
2014-11-11,18000.0
2014-11-12,18150.0
2014-11-13,18100.0
2014-11-14,18100.0
2014-11-15,18450.0
2014-11-17,18400.0
2014-11-18,18400.0
2014-11-19,18550.0
2014-11-20,18400.0
2014-11-21,18550.0
2014-11-22,18650.0
2014-11-24,18650.0
2014-11-25,18650.0
2014-11-26,18650.0
2014-11-27,18600.0
2014-11-28,18450.0
2014-11-29,18250.0
2014-12-01,18000.0
2014-12-02,18750.0
2014-12-03,18700.0
2014-12-04,18800.0
2014-12-06,18700.0
2014-12-08,18700.0
2014-12-09,18800.0
2014-12-10,19100.0
2014-12-11,19100.0
2014-12-12,19050.0
2014-12-13,19050.0
